Episode_ID,Phase,Start,End
80,A2,2015-01-23,2015-01-27
81,B1,2015-01-28,2015-01-30
82,A2,2015-02-02,2015-03-25
83,B1,2015-03-26,2015-04-08
84,A2,2015-04-09,2015-06-16
85,B1,2015-06-17,2015-06-18
86,A2,2015-06-19,2015-06-29
87,B1,2015-06-30,2015-07-13
88,A2,2015-07-14,2015-08-18
89,B1,2015-08-19,2015-08-24
90,B3,2015-08-25,2015-08-26
91,B2,2015-08-27,2015-10-06
92,A1,2015-10-07,2015-10-13
93,B2,2015-10-14,2015-10-15
94,A1,2015-10-16,2015-10-23
95,A2,2015-10-26,2015-12-21
96,B1,2015-12-22,2015-12-29
97,A2,2015-12-30,2015-12-31
98,B1,2016-01-04,2016-01-07
99,B2,2016-01-08,2016-02-25
100,A1,2016-02-26,2016-02-29
101,B2,2016-03-01,2016-03-02
102,A1,2016-03-03,2016-04-12
103,A2,2016-04-13,2016-04-28
104,B1,2016-04-29,2016-05-20
105,A2,2016-05-23,2016-06-17
106,B2,2016-06-20,2016-06-22
107,A2,2016-06-23,2016-06-24
108,B1,2016-06-27,2016-07-01
109,B2,2016-07-05,2016-07-08
110,A2,2016-07-11,2016-09-12
111,B1,2016-09-13,2016-09-15
112,A2,2016-09-16,2016-10-31
113,B1,2016-11-01,2016-11-08
114,A2,2016-11-09,2016-11-10
115,B1,2016-11-11,2016-11-17
116,A2,2016-11-18,2016-12-01
117,B2,2016-12-02,2016-12-07
118,A2,2016-12-08,2017-04-13
119,B1,2017-04-17,2017-04-19
120,A2,2017-04-20,2017-06-02
121,A3,2017-06-05,2017-06-06
122,A2,2017-06-07,2017-08-18
123,B1,2017-08-21,2017-08-28
124,A2,2017-08-29,2018-01-24
125,A3,2018-01-25,2018-02-01
126,A2,2018-02-02,2018-03-23
127,B1,2018-03-26,2018-04-06
128,B2,2018-04-09,2018-04-17
129,A2,2018-04-18,2018-04-19
130,B2,2018-04-20,2018-05-04
131,A2,2018-05-07,2018-07-03
132,B1,2018-07-05,2018-07-06
133,A2,2018-07-09,2018-10-10
134,B2,2018-10-11,2018-11-23
135,B1,2018-11-26,2018-11-27
136,B2,2018-11-28,2018-12-07
137,B1,2018-12-10,2018-12-12
138,B2,2018-12-13,2019-01-23
139,A1,2019-01-24,2019-03-07
140,A2,2019-03-08,2019-05-13
141,B1,2019-05-14,2019-06-07
142,A2,2019-06-10,2019-08-05
143,B1,2019-08-06,2019-08-21
144,A2,2019-08-22,2019-08-23
145,B1,2019-08-26,2019-08-29
146,A2,2019-08-30,2019-10-01
147,B2,2019-10-02,2019-10-03
148,B1,2019-10-04,2019-10-11
149,B2,2019-10-14,2019-10-15
150,A2,2019-10-16,2019-10-18
151,B2,2019-10-21,2019-10-23
152,A2,2019-10-24,2020-01-08
153,A3,2020-01-09,2020-01-27
154,A2,2020-01-28,2020-02-10
155,A3,2020-02-11,2020-02-24
156,A2,2020-02-25,2020-03-09
157,B3,2020-03-10,2020-03-26
158,B2,2020-03-27,2020-04-01
159,B3,2020-04-02,2020-04-06
160,B2,2020-04-07,2020-04-13
161,A1,2020-04-14,2020-04-16
162,B2,2020-04-17,2020-04-20
163,A1,2020-04-21,2020-04-24
164,B2,2020-04-27,2020-05-20
165,A2,2020-05-21,2020-06-02
166,A3,2020-06-03,2020-09-23
167,A2,2020-09-24,2020-09-25
168,A3,2020-09-28,2020-10-22
169,A2,2020-10-23,2020-10-30
170,B1,2020-11-02,2020-11-04
171,A2,2020-11-05,2020-11-06
172,A3,2020-11-09,2020-11-11
173,A2,2020-11-12,2020-12-17
174,A3,2020-12-18,2020-12-21
175,A2,2020-12-22,2021-02-10
176,A3,2021-02-11,2021-02-17
177,A2,2021-02-18,2021-02-24
178,B1,2021-02-25,2021-03-04
179,A2,2021-03-05,2021-04-15
180,A3,2021-04-16,2021-04-19
181,A2,2021-04-20,2021-05-07
182,B1,2021-05-10,2021-05-17
183,B2,2021-05-18,2021-05-20
184,A2,2021-05-21,2021-10-04
185,B2,2021-10-05,2021-10-06
186,A2,2021-10-07,2021-10-08
187,B2,2021-10-11,2021-10-18
188,A2,2021-10-19,2022-01-07
189,B1,2022-01-10,2022-01-21
190,B3,2022-01-24,2022-01-28
191,B2,2022-01-31,2022-03-22
192,A1,2022-03-23,2022-04-08
193,B2,2022-04-11,2022-04-26
194,B3,2022-04-27,2022-06-10
195,B2,2022-06-13,2022-06-15
196,B3,2022-06-16,2022-06-17
197,B2,2022-06-21,2022-07-15
198,A1,2022-07-18,2022-08-22
199,A2,2022-08-23,2022-08-30
200,B2,2022-08-31,2022-09-09
201,A2,2022-09-12,2022-09-22
202,B2,2022-09-23,2022-11-10
203,A1,2022-11-11,2022-11-21
204,B2,2022-11-22,2022-11-23
205,A1,2022-11-25,2022-12-06
206,B2,2022-12-07,2023-01-11
207,A2,2023-01-12,2023-01-19
208,A1,2023-01-20,2023-02-21
209,A2,2023-02-22,2023-03-02
210,B1,2023-03-03,2023-03-14
211,A2,2023-03-15,2023-03-21
212,A1,2023-03-22,2023-04-06
213,A2,2023-04-10,2023-05-26
214,A3,2023-05-30,2023-06-07
215,A2,2023-06-08,2023-06-12
216,A3,2023-06-13,2023-06-21
217,A2,2023-06-22,2023-07-13
218,A3,2023-07-14,2023-07-20
219,A2,2023-07-21,2023-08-11
220,B1,2023-08-14,2023-08-29
221,A2,2023-08-30,2023-09-21
222,B2,2023-09-22,2023-09-25
223,B1,2023-09-26,2023-10-06
224,B2,2023-10-09,2023-10-20
225,B1,2023-10-23,2023-11-02
226,B2,2023-11-03,2023-11-07
227,A2,2023-11-08,2023-12-26
228,A3,2023-12-27,2023-12-29
229,A2,2024-01-02,2024-01-19
230,A3,2024-01-22,2024-01-30
231,A2,2024-01-31,2024-04-16
232,B1,2024-04-17,2024-05-03
233,A2,2024-05-06,2024-07-24
234,B1,2024-07-25,2024-08-13
235,A2,2024-08-14,2024-09-05
236,B2,2024-09-06,2024-09-19
237,A2,2024-09-20,2024-10-01
238,B2,2024-10-02,2024-10-09
239,A2,2024-10-10,2025-01-07
240,B1,2025-01-08,2025-01-17
241,A2,2025-01-21,2025-02-26
242,B1,2025-02-27,2025-03-14
243,B2,2025-03-17,2025-04-04
244,B3,2025-04-07,2025-04-09
245,B2,2025-04-10,2025-05-06
246,A1,2025-05-07,2025-05-12
247,B2,2025-05-13,2025-05-27
248,A2,2025-05-28,2025-07-17
249,A3,2025-07-18,2025-07-21
250,A2,2025-07-22,2025-10-28
251,A3,2025-10-29,2025-10-30
252,A2,2025-10-31,2026-02-03
253,B2,2026-02-04,2026-02-09
254,A2,2026-02-10,2026-02-11
255,B2,2026-02-12,2026-02-19
256,A2,2026-02-20,2026-02-26
257,B2,2026-02-27,2026-04-14
258,A2,2026-04-15,2026-05-08
259,A3,2026-05-11,2026-05-18
260,A2,2026-05-19,2026-05-21
261,A3,2026-05-22,2026-06-05
262,A2,2026-06-08,2026-06-15
263,A3,2026-06-16,2026-06-23
264,A2,2026-06-24,2026-07-16
265,B1,2026-07-17,2026-07-17
